station,longitude,latitude
Willesden Green,-0.221119357,51.54886838
Colliers Wood,-0.176460893,51.41763979
Tooting Broadway,-0.166791248,51.42715702
Tooting Bec,-0.15763366,51.4353811
Balham,-0.151090206,51.44310998
Hendon Central,-0.224748399,51.58267136
Wimbledon,-0.204921053,51.42091587
Honor Oak Park,-0.044096334,51.44940041
Forest Hill,-0.051690278,51.43872534
Sydenham,-0.052652564,51.42659082
Turnham Green,-0.252958803,51.494448
Neasden,-0.24957656,51.5539234
Dollis Hill,-0.237445148,51.55145847
Stonebridge Park,-0.27487576,51.54368887
Willesden Junction,-0.242978972,51.5318981
East Finchley,-0.163438627,51.58665344
Highgate,-0.144860652,51.577342
West Acton,-0.279364414,51.51747345
Stratford,-0.002182514,51.54094802
Bruce Grove,-0.068182034,51.59336509
Seven Sisters,-0.073533739,51.58359611
Walthamstow St James Street,-0.031370968,51.58045909
White Hart Lane,-0.069256013,51.60447174
Stamford Hill,-0.074878256,51.57418005
Acton Central,-0.261566477,51.50821824
Blackhorse Road,-0.039657577,51.58647957
Crouch Hill,-0.115463356,51.57086778
Harlesden,-0.255902699,51.53575292
Harringay Green Lanes,-0.096693484,51.57659043
Kew Gardens,-0.283465911,51.47656919
Leyton Midland Road,-0.00583941,51.56914561
Leytonstone High Road,0.009121703,51.56347619
Stratford,-0.002182514,51.54094802
Maryland,0.007539167,51.54554249
Forest Gate,0.02615387,51.54895648
Wimbledon (Tramlink),-0.204395752,51.42048966
Dundonald Road,-0.206116509,51.41708633
Merton Park,-0.199772348,51.41320626
BECKTON - DLR,0.063442568,51.51390419
BECKTON PARK - DLR,0.056557435,51.50826026
CUSTOM HOUSE - DLR,0.028149357,51.50922299
CYPRUS - DLR,0.065567428,51.50798477
GALLIONS REACH - DLR,0.073386821,51.50846722
KING GEORGE V - DLR,0.063920007,51.50151128
LONDON CITY AIRPORT - DLR,0.04977043,51.50315378
PONTOON DOCK - DLR,0.03485088,51.50176796
PRINCE REGENT - DLR,0.035815177,51.50885626
ROYAL ALBERT - DLR,0.047489859,51.50789742
ROYAL VICTORIA - DLR,0.019349595,51.50871834
WEST SILVERTOWN - DLR,0.023940282,51.50237959
CANNING TOWN - DLR,0.009772469,51.51339633
EAST INDIA - DLR,-0.000674542,51.50887121
GREENWICH - DLR,-0.011836627,51.47760944
PUDDING MILL LANE - DLR,-0.012349897,51.53368602
WEST HAM - DLR,0.006640951,51.52774122
STRATFORD - DLR,-0.001594174,51.54086921
STAR LANE - DLR,0.005780604,51.52030887
ABBEY ROAD - DLR,0.005308217,51.5318653
STRATFORD HIGH STREET - DLR,0.000869889,51.53752645
STRATFORD INTERNATIONAL - DLR,-0.007832275,51.54433906
South Acton,-0.268894276,51.49891951
South Tottenham,-0.070375895,51.58009969
Stonebridge Park,-0.273853212,51.54346498
Walthamstow Queens Road,-0.022254511,51.58097129
Wanstead Park,0.027694662,51.55118604
Gunnersbury,-0.274027392,51.49082016
Stratford,-0.002307264,51.54107928
Hainault,0.095143844,51.60313737
Grange Hill,0.093957755,51.61269646
Colindale,-0.248341905,51.59494713
Burnt Oak,-0.262398845,51.60233699
Mill Hill East,-0.208460194,51.60773582
Finchley Central,-0.190951925,51.60043321
Sudbury Hill,-0.335039246,51.55646384
Sudbury Town,-0.314159662,51.55030341
Alperton,-0.298361133,51.54022715
Arnos Grove,-0.131434823,51.61595478
Southgate,-0.126150933,51.6317626
Perivale,-0.32183979,51.53624702
Greenford,-0.34492109,51.54208841
Snaresbrook,0.023019902,51.58017276
Leytonstone,0.009807678,51.56781496
Wanstead,0.030247766,51.57509659
Redbridge,0.047039301,51.5757446
Gants Hill,0.067825538,51.57602949
South Woodford,0.028990141,51.59138934
Newbury Park,0.091554903,51.57519974
Barkingside,0.090259547,51.58519895
Fairlop,0.092688126,51.59505439
Woodford,0.035640856,51.60635963
Roding Valley,0.045340184,51.61657815
Chigwell,0.077229167,51.61715195
East Ham,0.054454908,51.5388975
Upney,0.103187503,51.53784406
Barking,0.081813552,51.53937511
Morden,-0.193160282,51.40201673
Hounslow Central,-0.364716069,51.470809
Hounslow East,-0.3547554,51.47275219
Osterley,-0.350640896,51.48073359
Boston Manor,-0.32401176,51.494711
Wembley Central,-0.295237517,51.55177912
North Wembley,-0.302293996,51.56189247
Richmond,-0.300084253,51.46260595
Preston Road,-0.293539223,51.57151381
Wembley Park,-0.278458638,51.56325938
Kingsbury,-0.277052309,51.58414203
Queensbury,-0.284629817,51.59369962
South Kenton,-0.306785037,51.56971265
Kenton,-0.315140189,51.58111281
Woodside Park,-0.183907004,51.61758971
West Finchley,-0.186738929,51.60898928
Totteridge & Whetstone,-0.177599794,51.63009248
Northwick Park,-0.316478653,51.57797585
Norwood Junction,-0.073428759,51.39678711
Edmondton Green,-0.059376907,51.62445425
Highams Park,0.00150512,51.607873
Walthamstow Wood Street,-0.000741221,51.58600285
Silver Street,-0.065526104,51.61440848
Kenton,-0.315564441,51.58134846
North Wembley,-0.302663046,51.56226767
Manor Park,0.047651015,51.55189321
Ilford,0.07080065,51.55848898
Seven Kings,0.098722803,51.5634541
Goodmayes,0.112414564,51.56500163
Morden Road,-0.191339995,51.408346
Phipps Bridge,-0.180769806,51.40292944
Belgrave Walk,-0.176840028,51.40044481
Mitcham,-0.16947597,51.39700089
Mitcham Junction (Tramlink),-0.155733719,51.39213248
Beddington Lane,-0.141260885,51.38891199
Therapia Lane,-0.127515047,51.38515495
Ampere Way,-0.122172554,51.3818536
Arena,-0.056679487,51.39105665
Elmers End (Tramlink),-0.047979561,51.39779044
Harrington Road,-0.058885135,51.3991503
